,embedding
936,"[-0.006929677, -0.0093032159, 0.6112666726, 0.22340391580000002, -0.1530221105, -0.0770652592, 0.6701784134000001, -0.2747309804, -0.2543061674, 0.35355249050000004, -0.0499627925, -0.4781281352, -0.1483432949, -0.5487602353000001, 0.18033175170000001, 0.4536269605, 0.2317472696, 0.0425234959, 0.2160398662, -0.13936342300000001, 0.19162754710000002, -0.4680528641, -0.2206621766, -0.1292214096, 0.2019613385, -0.4868620336, 0.1426070929, -0.1948135644, 0.2653933465, -0.07147739830000001, -0.1613271832, 0.4784997702, 0.1849368811, 0.1398626864, 0.0944200605, 0.1258059293, -0.31845903400000003, -0.1077854484, 0.0107604321, 0.049651630200000005, 0.12136983870000001, -0.20205715300000002, 0.6256839037, -0.0032695420000000003, -0.048300951700000004, -0.22037974000000002, -0.2909337878, -0.49784243110000004, -0.1038537696, -0.133749336, -0.1706510037, 0.0829539001, -0.1312958747, -0.1665378213, 0.7653324008, -0.1726218015, -0.3171792328, -0.0957637876, 0.1054318622, -0.41555422540000003, -0.3388674259, -0.029951598500000003, -0.3608984649, -0.058287151200000005, 0.7502743006, -0.246324867, 0.3386741281, -0.0489081591, 0.3128075004, -0.16755813360000002, -0.0607390627, -0.2250027508, -0.1242145449, -0.0903266519, -0.069497548, 0.0555388741, 0.2485699356, -0.0045877025000000005, -0.1974303275, 0.16427263620000002, 0.0445348173, -0.35662534830000003, -0.4218665659, 0.2130888104, 0.15084883570000002, 0.0108724236, 0.47698986530000004, -0.1643146574, -0.30064392090000003, -0.06256943200000001, 0.1478696316, -0.3901128173, 0.0462005511, -0.1254789531, 0.2233489454, 0.0094565041, -0.11612444370000001, -0.3323431611, 0.5407624841, -0.048218816500000004, -0.23123319450000002, 0.0572485104, 0.1828160584, 0.45809665320000004, 0.146584183, 0.2479991168, 0.1657135338, 0.1488581151, 0.3136763573, -0.4304781854, 0.0398867168, 0.7647160888000001, 0.297598511, 0.7089232802000001, 0.2369952202, 0.0465047434, -0.2456418276, 0.0052340366, -0.0724269971, 0.0769576505, -0.0717047229, 0.10569551590000001, 0.0457370691, -0.535038352, 0.012471099400000001, -0.2865113616, 0.45776852970000004, -0.0129439272]"
937,"[0.1885122061, -0.11533918230000001, 0.8120582104, 0.0130968373, -0.0739287883, 0.0142431818, 0.252723515, -0.1173795462, -0.2227914631, 0.3916347921, -0.1425100863, -0.3429547846, 0.1947792619, -0.1760981828, 0.1798484027, 0.3424670696, 0.0916399509, 0.1478902102, 0.1446096748, -0.12755033370000002, 0.081156157, -0.2281247824, -0.2432305217, -0.1344517171, 0.1337418258, -0.4373243451, 0.0484766103, -0.27924507860000003, 0.0120431129, -0.1168902665, 0.1973254979, 0.295792371, 0.2109706849, 0.0590907633, -0.13491716980000001, 0.16698668900000002, -0.14334519210000002, -0.079679437, 0.0491109192, 0.0422001667, 0.14696162940000002, -0.13939638440000002, 0.3479906917, -0.1497149616, 0.058461137100000005, -0.222186029, -0.2825844288, -0.5830499530000001, -0.0371777378, -0.006353654, -0.4425274134, -0.09221241620000001, 0.0935374051, 0.0394143127, 0.6631659865, -0.0470586568, -0.0542945117, 0.0312870517, 0.1974087954, -0.139624238, -0.406629473, 0.0128102023, -0.3737499416, 0.0102610299, 0.504361093, -0.1897209287, 0.1852736771, 0.0463357233, 0.23856166010000002, -0.0850592852, 0.0434526503, -0.1164311767, -0.058958184000000004, -0.1287687719, -0.0635164455, -0.1258080751, 0.3782904446, -0.1669638902, -0.2098737508, -0.1587202996, -0.23177182670000002, -0.0651067942, -0.3330924511, 0.1934181154, 0.1278808713, -0.042582944000000005, 0.1905830801, -0.030928138600000002, -0.1786912829, -0.1472553909, 0.0275758915, -0.3712481856, -0.1020932719, -0.2243407071, 0.1486260891, -0.11676288400000001, 0.0853905231, -0.0367573313, 0.49899432060000004, -0.035239554900000004, -0.0083652455, 0.3045226038, 0.15750560160000002, 0.3020780981, 0.3391852379, 0.2044799626, 0.2040906996, 0.17285470660000002, 0.4879555702, -0.1491430402, -0.0079862606, 0.4944672585, 0.1100586429, 0.4718821347, 0.1709067225, 0.0494493954, -0.0212936308, 0.10199064020000001, 0.0316370353, 0.1594090164, -0.2967604399, 0.1770225912, 0.0367534198, -0.19814552370000002, 0.0414316282, -0.16696015, 0.3753833771, -0.2073591948]"
938,"[0.2054540068, 0.1125838831, 0.7677007318, 0.0909897014, -0.21066246930000002, -0.1742127687, 0.5512182713, -0.17697831990000001, 0.0208492018, 0.3495009542, 0.0602771193, -0.5890337825, 0.0665727854, -0.5650075078, 0.2696935833, 0.6377629042, 0.0960962623, 0.024121765, 0.40050864220000004, -0.0274949856, 0.2535960078, -0.4660149813, -0.0692806691, -0.0644459724, -0.012360788000000001, -0.0954038203, 0.06715758890000001, -0.3660338521, -0.0042472389, 0.011290509300000001, 4.3571e-05, 0.49909406900000003, 0.1583300382, 0.2096294463, 0.1576665938, 0.0368807465, -0.4200686216, -0.3932907283, 0.3821357191, -0.030886583000000002, 0.012280927, -0.11329891530000001, 0.7072165608000001, 0.0396955274, 0.012318798300000001, -0.0908614844, -0.2609399557, -0.6091821194, -0.06360180680000001, -0.1082356572, -0.1714223176, 0.1775665581, -0.33884203430000004, -0.3163150549, 0.7425461411000001, 0.00042774530000000004, -0.3069511652, -0.4460259378, 0.039610348600000005, -0.1422078013, -0.4743117988, -0.1666647196, -0.5775696635, 0.0366769843, 0.7351608276, -0.0231083892, 0.0429548994, -0.09516813610000001, 0.2762302756, -0.19281493130000002, -0.0753291249, 0.0529712513, 0.090367265, -0.0127766952, -0.09599983690000001, 0.0028574765, 0.27323064210000003, 0.0438031778, -0.1513166279, 0.2896107733, -0.10049278290000001, -0.2379427999, -0.198817566, 0.0534349643, 0.0080268271, 0.2738073468, 0.4078987539, -0.0157650746, -0.40375262500000003, -0.1007285044, 0.49945861100000005, -0.0917094052, 0.1886278391, -0.0230227653, 0.2722066045, 0.0482317768, -0.0675867274, -0.026675835300000002, 0.5231833458, 0.0782181695, -0.3313984871, -0.11309771240000001, -0.0474313125, 0.25082826610000003, 0.4197646081, -0.2195358574, 0.5209577084, -0.1403310448, 0.5867285132, -0.16351394360000002, -0.0300582312, 0.3717362583, 0.27222731710000003, 0.7208968401, 0.35645031930000004, 0.0473462492, 0.0057201851000000005, -0.2083009183, -0.0038105063, 0.21155917640000002, -0.1642030776, -0.1506498605, 0.1441469193, -0.35217303040000003, 0.1740662456, 0.030301261700000002, 0.8710402846, -0.1759259105]"
939,"[0.0015042983000000002, -0.0853932947, 0.3389878571, 0.18631450830000001, -0.1053489, -0.0212934483, 0.8008781672, -0.4964179695, -0.0739110038, 0.5089214444, 0.083213836, -0.4241918027, -0.1352006346, -0.5774158239, 0.3035421371, 0.5350858569, 0.0888231993, -0.047510348300000005, 0.2396848798, 0.1025430933, 0.3347334862, -0.4105006754, -0.44967061280000004, 0.0432857908, -0.0427016616, -0.0505235121, 0.3588037193, -0.2013851553, 0.10076285900000001, -0.009421168800000001, -0.1100617722, 0.2180013657, 0.18787890670000001, 0.0017648651, -0.1180993319, 0.168251425, -0.2172405869, -0.057872802, 0.2108330727, -0.10892144590000001, 0.240889132, -0.07903497670000001, 1.0152032375, 0.047156699, 0.0683676898, -0.0925250873, -0.2914978862, -0.4327882528, 0.0631344616, 0.08039600400000001, 0.0066232700000000005, 0.0094530471, 0.1347445548, -0.34286850690000004, 0.6901130080000001, -0.11392998700000001, -0.251829952, -0.2691379786, -0.0653258339, -0.5341401100000001, -0.287646234, -0.1438935846, -0.4647578597, 0.14085015650000002, 0.6113675833000001, -0.2021354437, 0.0422984473, -0.0121852886, 0.2041237056, 0.0783840194, -0.0810771361, 0.1349638551, 0.2567403615, -0.0381964818, 0.0458715186, -0.1597113907, 0.3503630757, 0.0056468979, -0.0216195434, 0.1356265992, 0.0645590201, -0.3482671976, -0.0682054609, 0.3452315032, 0.0710725635, -0.1800187677, 0.3700684309, 0.1445072293, -0.1918866932, -0.2145747244, 0.2035982311, -0.2369919121, -0.0932132006, 0.14869204160000002, 0.3560322821, 0.0237590931, -0.0597522333, 0.0070202919, 0.6263800263, -0.1255238652, -0.0386721045, 0.07917523380000001, 0.0053390786, 0.2731973529, 0.2405192405, -0.1517103612, -0.0130219311, 0.23144336040000002, 0.3092839718, -0.23153993490000002, -0.2010021508, 0.48204472660000003, 0.4013972282, 0.6528248191, 0.2835161388, -0.0934449136, -0.23868225510000002, -0.1510791183, 0.1348794699, 0.2315658182, -0.0553051122, 0.1371471733, 0.1968186498, -0.5068193674, 0.3957106769, 0.13401088120000001, 0.6911082864, 0.0902267471]"
940,"[-0.0871796906, 0.13993440570000001, 0.43962821360000004, 0.1896934062, 0.0990239978, 0.0029410301, 0.5492169857, -0.19931794700000002, 0.017542675100000002, -0.0074658878, 0.0263036806, -0.31416264180000003, -0.0206018351, -0.4664573967, 0.0776581019, 0.3578130603, -0.20946018400000002, -0.0802719668, 0.2719222605, 0.1061595157, 0.2314407676, -0.3533442616, -0.1323468834, 0.2789098024, -0.0062886048, 0.0063154474, 0.1602682024, 0.10664726050000001, 0.0265625529, -0.005202977, 0.0438620038, 0.20035454630000002, 0.20301601290000001, 0.1474066973, -0.1235563606, -0.0414031222, -0.4184249043, -0.2099146247, 0.0807563961, -0.0649362504, 0.0335973985, -0.2384524643, 0.41845616700000005, -0.1911845505, -0.0207992811, -0.0550911054, -0.32202166320000003, -0.49563044310000004, 0.06886441260000001, 0.0090319365, -0.022881034800000002, 0.1545152068, -0.2794100046, -0.36947274210000003, 0.4513358772, -0.11731406300000001, -0.24590726200000002, -0.2379010618, -0.0422449782, -0.27545183900000003, -0.4066562355, -0.21398043630000002, -0.15903040770000001, 0.10485155880000001, 0.48515370490000004, -0.1077960879, -0.0391005166, 0.0653594956, 0.18418844040000001, -0.0385348499, -0.22839592400000003, -0.1098133847, 0.10404521230000001, -0.1928539872, 0.0253688879, -0.0273173116, 0.1656168252, 0.1919481754, -0.1478200406, 0.0146345161, -0.1886205673, -0.12486021970000001, -0.1924698353, -0.0365117192, 0.0735623091, 0.1298577189, 0.35581594710000003, 0.1607029587, -0.3792787194, -0.19972142580000002, 0.2171232551, -0.26324382420000003, -0.060571927600000006, -0.1843379289, 0.35695034270000003, 0.11525327710000001, 0.003994232, 0.1268352419, 0.4157730341, -0.0016691191, 0.0703147948, -0.0537655577, -0.0364180654, 0.1744717807, 0.38757839800000005, -0.17853061850000002, 0.0132154282, 0.12562170620000002, 0.27503055330000004, -0.2539016306, -0.0124271763, 0.3409798443, 0.41167113180000003, 0.44274863600000003, 0.288218081, 0.0052774362, -0.0636974424, 0.0989963859, -0.0419289619, 0.1041540056, -0.0960249677, -0.11422337590000001, 0.2614902854, -0.2907570302, 0.0322629958, -0.1188519672, 0.6678564548, -0.049450300600000004]"
941,"[0.0738373101, 0.11021241550000001, 0.6469558477, 0.1287959516, -0.0707829595, -0.01713828, 0.7189091444, -0.2788618207, -0.0467150323, 0.5871425271, -0.2980473638, -0.4540052712, 0.08364035930000001, -0.5201092958, 0.28000944850000004, 0.6074201465, 0.12309147420000001, -0.0335113369, 0.2758929133, -0.0471125133, 0.331617415, -0.3229741752, -0.09259014580000001, -0.0994941592, 0.1477451622, -0.0223968662, 0.20046079160000002, -0.014531035000000001, 0.19714871050000002, -0.06769925360000001, -0.1731488109, 0.27473747730000003, 0.2811987698, -0.017562542100000002, -0.0182966981, 0.15533095600000002, -0.30900418760000004, -0.3094441295, 0.2727962732, -0.1895200312, 0.0383931026, -0.0250369478, 0.5904464126, 0.0213963855, 0.0260083787, -0.0695390254, -0.32464420800000005, -0.6882386208, 0.0846425891, -0.0030423105, -0.20313051340000002, 0.0898388177, -0.2657285929, -0.1559948325, 1.0100892782, -0.1503438205, -0.1532176584, -0.34318253400000004, 0.1531171799, -0.1430069953, -0.4282893836, -0.0190342069, -0.3098303676, 0.0014590248, 0.5658738017, -0.140096724, 0.1460158378, 0.0837719813, 0.34857231380000003, -0.1564970762, -0.0657277554, -0.3330594301, 0.2085421532, -0.08035741, 0.0448927134, 0.07640207560000001, 0.3051173091, 0.0519825742, -0.3302072287, 0.1584784091, -0.0969974697, -0.4905188084, -0.2129956037, -0.2567408681, 0.07534679030000001, 0.041043099, 0.3494234383, -0.1427071989, -0.11425232140000001, -0.1145018265, 0.32289704680000003, -0.3296622932, -0.0931030884, -0.2817266285, 0.1953216791, -0.0296384934, 0.0532243103, -0.1155682504, 0.4633096457, -0.1816766709, -0.0997807533, -0.1022114605, 0.0802825987, 0.2930013537, 0.4367949367, -0.0638495609, 0.338088274, -0.0720061287, 0.42601954940000003, -0.2896595597, 0.1229322404, 0.40747442840000003, 0.3780005574, 0.7664314508000001, 0.3213320673, -0.08715830740000001, -0.1096520051, 0.11811670660000001, -0.180796802, 0.2168143392, -0.0409211442, -0.0298019424, 0.1375959814, -0.31047880650000004, 0.1865469813, -0.010704559300000001, 0.5571483970000001, 0.061165306700000005]"
942,"[-0.1241825745, 0.1017778143, 0.3730795979, 0.0731821954, 0.09886845200000001, 0.0381359011, 0.8596149087, -0.41711586710000004, -0.10957712680000001, 0.14144010840000001, -0.407423228, -0.47154605390000004, -0.030324069800000002, -0.40274482970000003, 0.2388370484, 0.5618089437, -0.026412366000000003, -0.0838843137, 0.2087175101, -0.0053151618, 0.4181990027, -0.3163363636, -0.3444194198, 0.213453725, 0.010452684, -0.14527884130000002, 0.1913334578, -0.0088310409, 0.0719805881, -0.2766827345, 0.18793872, 0.2624149024, 0.156518653, 0.1565321982, -0.0301019698, -0.050771616400000004, -0.40287172790000003, -0.0008237977, 0.21566590670000002, 0.1291405857, 0.132804215, -0.0998840034, 0.8229534030000001, -0.0670391992, 0.037688266500000005, -0.008686047, -0.40990975500000004, -0.3033833802, 0.0388948172, -0.0469849482, 0.0448555909, 0.2773537636, -0.16222870350000002, -0.093856886, 0.4199468195, -0.1400640309, -0.4244153798, -0.2915455699, -0.1047754213, 0.0324174985, -0.4973724484, -0.2693542838, -0.3160992861, -0.0517457798, 0.4878824055, -0.0302760098, 0.3052604198, 0.2380081117, 0.5385454893, 0.1914619058, -0.0759101138, -0.1039920896, 0.0186447576, -0.0834830329, -0.0446559265, -0.015200184700000001, 0.3101582825, 0.031574443, -0.26143309470000003, 0.1648610681, -0.0887166187, -0.5719406605, -0.2190122753, -0.0879360139, -0.0964867622, 0.0336328372, 0.2138388306, -0.19163961710000002, -0.2216052115, -0.1080241799, -0.09423177690000001, -0.0751271024, -0.19552649560000002, 0.17617240550000002, 0.3752231896, 0.0936670527, -0.2034888715, -0.1772172749, 0.6124783754, 0.0334502347, -0.13371936980000002, -0.0051815389, 0.0235145148, 0.3174971938, 0.4360720515, 0.0909797624, 0.0320638046, 0.2441098541, 0.3468979895, -0.5386297107, 0.17200343310000002, 0.5861876011, 0.47366380690000004, 0.3476346433, 0.2093075365, 0.2594335377, -0.2472924292, -0.1047957689, 0.1312414408, 0.1957728118, -0.0587803163, -0.0677152053, 0.2165972441, -0.2086232901, 0.0010747761, -0.0856144801, 0.6240983009000001, -0.1687627435]"
943,"[0.044195652, -0.0157526601, 0.4940264821, 0.4329949319, -0.0280846581, -0.0364132151, 0.5104611516, -0.32304808500000004, -0.0902257264, 0.6237252355, -0.0203546304, -0.5240340233, -0.1220102385, -0.44593465330000004, 0.39017549160000004, 0.5777461529, 0.1116622686, -0.052097626, 0.19199049470000001, -0.0184139796, 0.2903923094, -0.3158691525, -0.2592966557, -0.0196224656, -0.11932154, -0.3015183806, 0.22223292290000002, -0.3071811497, 0.1629259586, -0.2325115502, -0.0613645837, 0.3832987547, 0.1269985586, 0.21216353770000002, 0.0856371969, -0.0730775073, -0.44011372330000004, -0.1133522242, 0.028646776500000002, 0.08679230510000001, 0.19965274630000002, -0.1644738019, 0.9279479384, -0.0041467575, 0.2305243015, -0.24322642390000002, -0.12005184590000001, -0.4444030523, 0.0246947035, 0.0268847346, -0.0369734019, 0.16511809830000002, 0.0299747642, -0.4220742583, 0.5572456717000001, -0.2314098477, -0.22904771570000002, -0.2372649461, 0.1653418243, -0.4191229939, -0.5281817317, -0.30691808460000003, -0.20771862570000002, -0.06357486550000001, 0.5357429981, -0.24513852600000002, 0.07984156910000001, -0.1448330283, 0.0490465872, -0.1350578219, -0.07640296220000001, -0.11805228890000001, 0.10493052010000001, -0.11694700270000001, 0.1238325685, 0.1409449875, 0.3907315135, 0.2042254061, -0.2549343705, 0.2823983431, -0.0052687684, -0.3450908959, -0.2713188231, 0.1740091145, 0.0105194785, -0.0258814767, 0.36066839100000003, -0.13606324790000002, -0.28073182700000004, -0.1820173115, 0.1474289447, -0.12577638030000002, 0.0579681545, 0.0028975513, 0.1831710935, 0.1230925024, -0.15388458970000002, -0.1865273118, 0.8272681236, 0.054564748, -0.149936825, 0.1718978733, -0.0744485259, 0.3179600835, 0.42440333960000004, -0.008448882000000001, 0.2200170308, 0.2026534379, 0.24404864010000002, -0.3283083439, -0.007520750200000001, 0.7293190956000001, 0.5730785131, 0.4850072563, 0.266707778, 0.1355920434, -0.11430871490000001, -0.1382270455, -0.12977325920000002, 0.0274175424, 0.08573720600000001, 0.20959913730000002, 0.23352669180000002, -0.4482356608, -0.0151487254, -0.11289852110000001, 0.696574688, -0.1799449176]"
944,"[0.1010223329, 0.051687065500000004, 0.6075624228000001, 0.1683660448, -0.091724731, -0.07073890420000001, 0.5052633882, -0.1971425414, -0.0164259151, 0.2842471898, -0.11585865910000001, -0.5367788672, 0.0505211987, -0.5355622172, 0.2452142239, 0.5699407458, -0.0090849306, -0.0453275517, 0.2729986608, 0.0270990282, 0.25038141010000003, -0.2570579052, -0.0815220028, -0.15558940170000002, 0.1762044281, -0.4780340195, 0.12499108910000001, -0.1367818415, 0.2465513647, -0.0959850475, 0.0847823098, 0.4022963047, 0.1861425638, 0.07017712300000001, 0.1401312053, 0.2013759017, -0.5041589141, -0.10304652900000001, 0.0711631179, -0.0678942651, 0.0182031561, -0.1490713656, 0.3920531869, -0.0672171563, 0.027263693500000002, -0.057827200700000005, -0.129768312, -0.5250559449000001, -0.06423517320000001, -0.060183487800000005, -0.1746428907, 0.1134128794, -0.0920941234, -0.19621102510000002, 0.6569778323000001, -0.0808716267, -0.0863656178, -0.1132296473, -0.023998696400000002, -0.36380624770000003, -0.47511228920000004, -0.20249307160000002, -0.2506349981, -0.07897567750000001, 0.5135925412, 0.0419605747, 0.17428252100000002, -0.0135184135, 0.2854738832, -0.2029840052, -0.2367551327, -0.1592755169, 0.2532354891, -0.0794000328, -0.0382611677, -0.1108061895, 0.1719038188, -0.0342340395, -0.2136616111, 0.024281159, -0.11876839400000001, -0.3272951841, -0.21170488, 0.1786324233, -0.0970361307, -0.027878915900000002, 0.41741678120000003, -0.0049942578000000005, -0.2501377761, -0.2073753476, 0.5444638729, -0.4240743518, 0.10595183820000001, -0.25268572570000003, 0.39852166180000004, 0.0386272967, 0.08932001140000001, 0.0050008977000000005, 0.5865504742000001, 0.0440518148, -0.4434835017, 0.0537996218, 0.0352628939, 0.1157287806, 0.48378092050000004, -0.3172259033, 0.0570188425, 0.1313926429, 0.4300606549, -0.1530371904, -0.1426952034, 0.44321811200000005, 0.3342682421, 0.7371163368, 0.30707967280000004, 0.0294368342, -0.0176086035, -0.0491823629, -0.0310611501, 0.0162613094, -0.1667530835, 0.08683133130000001, 0.0203534719, -0.4581140876, 0.1472357213, -0.19470252100000002, 0.7253721356, -0.0118876267]"
945,"[0.0888746381, -0.41427099700000003, 0.6992701888, 0.0955102816, -0.1062609926, 0.1847750396, 0.5684610605, -0.31622275710000003, -0.1899340749, 0.5826320648000001, -0.054158859000000004, -0.4658738375, 0.31539219620000003, -0.5012190342, 0.1689936817, 0.5454361439000001, 0.09537640210000001, 0.0624574497, 0.3014469743, -0.045217059600000005, -0.0266898014, -0.1585396081, -0.4475688338, -0.10183523600000001, 0.2163843513, -0.5285476446, 0.2126917988, -0.1559891105, 0.22809813920000002, -0.0117006451, 0.0557593703, 0.2168651819, 0.1671025008, 0.0043900264, -0.0142446123, -0.0404761359, -0.2521974742, -0.1863398701, -0.0106633725, 0.0716581345, 0.14907796680000002, -0.16270481050000002, 0.6124142408000001, -0.37590307, 0.0733417943, -0.2619468868, -0.199283272, -0.5120548606, 0.0529574081, -0.0009663627, -0.132147342, -0.0313144252, 0.0266326591, -0.2777149975, 0.570045054, -0.16880612080000001, -0.1209375411, -0.2782328725, 0.0664872378, -0.2343787253, -0.2997282147, 0.0163862035, -0.3065985739, -0.006120055, 0.4259954989, -0.1150403321, 0.0750412792, -0.0787320063, 0.1495491564, -0.030363418200000002, 0.0376067422, -0.0989749432, 0.160827741, -0.3595392704, -0.100182265, 0.1087334454, 0.46650293470000004, -0.0711255521, -0.119188346, -0.09963153300000001, -0.2045770884, -0.2538840175, -0.3086957932, 0.1679394543, 0.08609014, -0.1624994576, 0.08664812150000001, -0.11787144840000001, -0.1827857792, -0.3960480988, 0.0946677253, -0.3314887583, -0.31581392880000003, 0.0359000303, 0.1428078264, 0.0264375042, 0.1401073039, -0.1416897923, 0.6121422052000001, -0.0863780081, -0.09216904640000001, -0.050564527500000005, 0.25462150570000003, 0.3572058976, 0.3769758344, 0.14676210280000002, 0.08939107510000001, 0.31388324500000003, 0.2703268528, -0.1932003945, -0.040023949, 0.6554870009, 0.4898652732, 0.598120749, 0.2201646864, 0.0105764391, -0.14863571520000002, 0.1761353314, 0.0737238824, 0.2436725199, -0.077476874, 0.0006971126, 0.14846923950000002, -0.2728593647, 0.1749411374, -0.1646274477, 0.4248082936, 0.0115632452]"
946,"[0.07101804020000001, 0.0182664376, 0.9528833032, -0.011112749600000001, -0.055257767400000005, 0.3190248013, 0.4759670198, -0.0501172207, -0.1713479161, 0.503670752, -0.3449663222, -0.4848652184, 0.0947116539, -0.4195857644, 0.2653173506, 0.5852748156, 0.1204857528, 0.1028717309, 0.2956694067, -0.13710792360000001, 0.35973927380000004, -0.3099248409, -0.4267853498, 0.051957041, 0.243980363, -0.46705055240000004, 0.3201316595, -0.0264662541, 0.1944718659, -0.1832087189, 0.2622025013, 0.5115936399000001, 0.2267116904, -0.0119479699, -0.0732373446, 0.21878270800000002, -0.2799935937, 0.1067062914, -0.048722174, 0.09421319510000001, -0.08122398700000001, -0.1077639237, 0.5802435875, -0.119073227, 0.1173704118, -0.1148668677, -0.26824891570000003, -0.6887801886, 0.0251893885, 0.0035329014000000003, -0.3286365569, 0.19106920060000002, 0.10244815800000001, -0.0786797032, 0.6298109293, -0.11992910500000001, -0.353877604, -0.1808079034, 0.034538392, -0.1629839092, -0.3166487813, -0.13797144590000002, -0.33304113150000003, -0.0195397921, 0.491845876, -0.0794826597, 0.2661059797, -0.0385661423, 0.2956795692, -0.19124044480000002, -0.0082239527, -0.16252598170000002, 0.24290323260000002, -0.3701015413, -0.2385120392, 0.0989174917, 0.30249863860000004, -0.0304220337, -0.38832575080000004, -0.1536024213, -0.2507321239, -0.5859262943, -0.15010851620000001, 0.2378309667, 0.12726399300000002, -0.1472203135, 0.2853654027, -0.1228344217, -0.3183311224, -0.2251096666, 0.18764811750000002, -0.3677288294, -0.1540527642, -0.1609582305, 0.0774165317, -0.2478212863, -0.024262026000000003, -0.2003702074, 0.7891182303000001, -0.3073049188, -0.130580321, 0.0907746851, 0.3910584152, 0.4720022082, 0.4139659107, 0.2926052809, -0.0045378394, 0.1873930395, 0.5000477433, -0.3677582145, -0.1058426499, 0.6438895464000001, 0.1640159488, 0.6732813716, 0.3234051764, 0.216339156, -0.2901344299, -0.1107857376, 0.0142092872, 0.2203838676, -0.16632825140000002, 0.16414161030000002, 0.19412250820000002, -0.3818463683, 0.1638351828, -0.2117621005, 0.4944922626, 0.0316441171]"
947,"[0.1595739126, -0.1960861683, 0.44317185880000004, 0.0757806376, 0.007262744000000001, -0.0011302428, 0.0760208145, -0.16844031210000002, -0.0201246291, -0.0077088587000000005, -0.0489669852, -0.252455622, 0.2236843258, -0.3335977793, 0.1113166213, 0.48179063200000005, 0.0104017938, 0.0885927007, 0.2050322145, -0.2577174008, -0.2133637965, -0.08914029600000001, -0.2095500976, -0.1371562779, 0.1440933943, -0.4182294905, 0.2339197993, 0.0679189265, -0.1557988226, -0.24083274600000001, 0.2595106065, 0.2394225895, 0.29886725540000003, 0.0880208611, -0.1145313233, 0.2662111521, -0.21829926970000002, 0.1857575178, 0.0286748875, 0.0737788752, 0.09419037400000001, 0.0559700839, 0.3759309649, -0.2762833834, -0.11136150360000001, -0.0345306695, -0.19372674820000002, -0.41909164190000003, 0.2158002108, 0.1700098217, -0.3994489014, -0.08351486920000001, 0.32008108500000004, -0.0915190801, 0.14027448, 0.08815468850000001, -0.258120507, 0.1164327487, -0.1173278987, -0.0377941802, -0.16294200720000002, 0.0720319226, -0.001580447, -0.0278947651, 0.2504531741, 0.029047342, 0.0812143162, 0.0227930173, 0.2236000001, 0.09957713630000001, 0.0512649529, 0.17263846100000002, 0.23128980400000002, -0.5174196362, -0.1030067652, -0.0117653273, 0.1704756767, 0.0340504274, -0.09068188070000001, -0.0939926058, -0.0739392638, -0.3822560906, -0.207691431, 0.1885761619, -0.015241514900000001, -0.3346230388, 0.0140654631, -0.1190246642, 0.0388168469, -0.17423588040000001, 0.0046217442, -0.057064089900000003, -0.2527643442, 0.1281749606, 0.1015534773, -0.0683453381, 0.0249536633, -0.1666600406, 0.39200761910000004, 0.0502813421, 0.1636107117, 0.2301640064, 0.1475289464, 0.5810396671, 0.33475026490000004, 0.2959971428, 0.010943729400000001, 0.36435776950000004, 0.6734700799000001, -0.1112292483, 0.0136060286, 0.39948654170000003, 0.12883383040000002, 0.2032788545, 0.1342706233, 0.22319190200000003, -0.33181929590000003, 0.09562365710000001, 0.1277507842, 0.16877549890000001, -0.246459797, 0.2301178277, 0.09150820230000001, -0.2301534563, 0.0936889946, 0.0830123946, 0.151304543, -0.0496058315]"
